ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9593733,HX243900,05/01/2014 5:00:00 AM,031XX W 26TH ST,031A,ROBBERY,ARMED: HANDGUN,RESTAURANT,false,false,1033,010,12,30,03,1155664,1886523,2014,05/04/2014,41.84441561,-87.70423219,"(41.84441560679154, -87.70423219333728)"
9594122,HX244339,05/01/2014 5:00:00 AM,028XX S ST LOUIS AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1032,010,22,30,14,1153532,1885036,2014,05/04/2014,41.84037769,-87.71209581,"(41.84037768566972, -87.71209580544296)"
9593371,HX243818,05/01/2014 5:00:00 AM,056XX S PRINCETON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE PORCH/HALLWAY,true,true,0711,007,3,68,08B,1175293,1867398,2014,05/04/2014,41.79151774,-87.63276957,"(41.79151773809275, -87.63276956885929)"
9594212,HX244465,05/01/2014 5:00:00 AM,013XX S TROY ST,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,false,false,1022,010,24,29,26,1155539,1893442,2014,05/04/2014,41.86340464,-87.70450497,"(41.86340463511603, -87.70450497480816)"
9597271,HX247995,05/01/2014 5:00:00 AM,076XX S COTTAGE GROVE AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,GAS STATION,false,false,0624,006,6,69,11,1182842,1854726,2014,05/06/2014,41.75657243,-87.60548239,"(41.756572430188164, -87.60548239334551)"
9595600,HX245757,05/01/2014 5:00:00 AM,077XX N MARSHFIELD AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,false,false,2422,024,49,1,26,1164018,1951300,2014,05/06/2014,42.02199541,-87.67173993,"(42.021995411207115, -87.67173992701012)"
9593616,HX243916,05/01/2014 5:00:00 AM,012XX N HOYNE AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,false,false,1424,014,32,24,05,1162135,1908345,2014,05/07/2014,41.90416461,-87.67987496,"(41.90416461050536, -87.67987495611946)"
9593363,HX243813,05/01/2014 4:20:00 AM,075XX S COLES AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,false,0421,004,7,43,08B,1195803,1855854,2014,05/04/2014,41.75935702,-87.5579464,"(41.75935701814929, -87.55794639747248)"
9594458,HX244464,05/01/2014 4:15:00 AM,0000X N CALIFORNIA AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1222,012,2,27,07,1157686,1900020,2014,05/07/2014,41.8814119,-87.6964443,"(41.88141189872768, -87.69644430380718)"
9593524,HX243968,05/01/2014 4:00:00 AM,100XX S VERNON AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,0511,005,9,49,05,1181054,1838524,2014,05/04/2014,41.71215356,-87.61253229,"(41.71215355580915, -87.61253228712054)"
9594268,HX244610,05/01/2014 4:00:00 AM,031XX W 36TH ST,0820,THEFT,$500 AND UNDER,FACTORY/MANUFACTURING BUILDING,false,false,0911,009,12,58,06,1156035,1880623,2014,05/04/2014,41.82821783,-87.70302956,"(41.82821783097525, -87.70302955930654)"
9593648,HX244081,05/01/2014 4:00:00 AM,004XX N HALSTED ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1214,012,27,24,06,1170913,1903578,2014,05/03/2014,41.89089566,-87.64777118,"(41.89089565864742, -87.64777117834001)"
9593379,HX243828,05/01/2014 3:55:00 AM,001XX S CICERO AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,1533,015,28,25,18,1144362,1899218,2014,05/04/2014,41.87947203,-87.74539008,"(41.87947202655146, -87.74539007795737)"
9593330,HX243807,05/01/2014 3:30:00 AM,116XX S PEORIA ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0524,005,34,53,14,1172237,1827822,2014,05/03/2014,41.68298362,-87.64513571,"(41.6829836175029, -87.64513570864612)"
9593413,HX243843,05/01/2014 3:00:00 AM,123XX S WENTWORTH AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,0523,005,9,53,06,1177204,1823279,2014,05/04/2014,41.67040661,-87.62708975,"(41.670406607289934, -87.62708974554863)"
9593583,HX244045,05/01/2014 3:00:00 AM,045XX W JACKSON BLVD,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1113,011,28,26,07,1146389,1898347,2014,05/03/2014,41.87704355,-87.73796935,"(41.877043553613056, -87.73796935292738)"
9593584,HX243956,05/01/2014 3:00:00 AM,030XX W 62ND ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,0823,008,15,66,05,1157231,1863331,2014,05/06/2014,41.78074211,-87.69910967,"(41.78074211160222, -87.69910966831391)"
9594114,HX244284,05/01/2014 3:00:00 AM,015XX N ROCKWELL ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,1423,014,26,24,26,1158836,1910129,2014,05/04/2014,41.90912837,-87.69194405,"(41.90912837101914, -87.69194405328074)"
9594109,HX244304,05/01/2014 3:00:00 AM,068XX S PEORIA ST,0820,THEFT,$500 AND UNDER,STREET,false,false,0723,007,17,68,06,1171526,1859540,2014,05/04/2014,41.77003788,-87.64681241,"(41.770037879476526, -87.64681241408078)"
9594411,HX244778,05/01/2014 3:00:00 AM,008XX W 71ST ST,0820,THEFT,$500 AND UNDER,APARTMENT,false,false,0733,007,6,68,06,1172017,1857818,2014,05/04/2014,41.76530173,-87.64506313,"(41.765301733640555, -87.64506312953809)"
9593316,HX243799,05/01/2014 2:45:00 AM,068XX S PERRY AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,0722,007,6,69,08B,1176540,1859574,2014,05/04/2014,41.77001988,-87.62843227,"(41.77001988289668, -87.62843227270723)"
9593318,HX243803,05/01/2014 2:43:00 AM,032XX N BROADWAY,0460,BATTERY,SIMPLE,RESTAURANT,true,false,1925,019,44,6,08B,1171716,1921854,2014,05/03/2014,41.94102827,-87.64428293,"(41.94102827212766, -87.64428293294294)"
9599063,HX249597,05/01/2014 2:30:00 AM,055XX W AUGUSTA BLVD,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,RESIDENTIAL YARD (FRONT/BACK),false,false,1524,015,37,25,14,1139022,1906157,2014,05/07/2014,41.89861223,-87.7648292,"(41.89861222901234, -87.7648292042339)"
9593712,HX243806,05/01/2014 2:30:00 AM,020XX N KEELER AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,2522,025,30,20,08B,1148005,1913518,2014,05/04/2014,41.91864347,-87.73164516,"(41.918643468980804, -87.73164515765689)"
21355,HX243787,05/01/2014 2:22:00 AM,080XX S COTTAGE GROVE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0631,006,8,44,01A,1182996,1851742,2014,05/01/2014,41.74838044,-87.60501059,"(41.74838044469933, -87.60501059244723)"
9593304,HX243791,05/01/2014 2:15:00 AM,049XX W QUINCY ST,0460,BATTERY,SIMPLE,SIDEWALK,true,false,1533,015,28,25,08B,1143679,1898592,2014,05/03/2014,41.87776702,-87.74791366,"(41.87776701761865, -87.7479136572116)"
9594347,HX243801,05/01/2014 2:15:00 AM,006XX N FRANKLIN ST,0460,BATTERY,SIMPLE,STREET,false,false,1831,018,42,8,08B,1174170,1904648,2014,05/05/2014,41.89375977,-87.63577801,"(41.89375976778889, -87.63577800998077)"
9597182,HX244381,05/01/2014 2:06:00 AM,003XX E CERMAK RD,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,OTHER,false,false,0132,001,2,33,26,1178434,1889756,2014,05/06/2014,41.85279909,-87.62057213,"(41.85279908826956, -87.62057212865203)"
